Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.3065390,554790,Modeling pollination services across agricultural landscapes,2009,"Lonsdorf et al. 
",Annals of Botany,1,,,288,,,
grant.3118993,1039127,"Water, climate, and social change in a fragile landscape",2013,Hargrove et al. ,Ecosphere,1,,,2,,,
grant.3118993,1039127,Regional climatic considerations for borderlands sustainability,2013,"Gutzler, David S.",Ecosphere,2,,,7,,,
grant.3118993,1039127,Water quantity and quality challenges from Elephant Butte to Amistad,2013,"Hogan, James F.",Ecosphere,2,,,1,,,
grant.3118993,1039127,Impacts of groundwater pumping and climate variability on groundwater availability in the Rio Grande Basin,2013,"Sheng, Zhuping",Ecosphere,3,,,10,,,
grant.3118993,1039127,Key landscape ecology metrics for assessing climate change adaptation options: rate of change and patchiness of impacts,2013, López-Hoffman et al. ,Ecosphere,1,,,6,,,
grant.3118993,1039127,Human needs and environmental rights to water: Emergence of a biocultural systems approach to hydrodevelopment and management,2013,"Johnston, Barbara Rose",Ecosphere,2,,,4,,,
grant.3118993,1039127,Water infrastructures in the U.S./Mexico borderlands,2013,"Walsh, Casey",Ecosphere,3,,,1,,,
grant.3118993,1039127,Iterative driver-response dynamics of human-environment interactions in the Arizona-Sonora borderlands,2013,Scott and Beuchler,Ecosphere,1,,,8,,,
grant.3068120,612062,Streamflow response to seasonal snow cover mass changes over large Siberian watersheds,2007,"Yang, DQ; Zhao, YY; Armstrong, R; Robinson, D; Brodzik, MJ.",JOURNAL OF GEOPHYSICAL RESEARCH - EARTH SURFACE,3,,,44,,,
grant.3068120,612062,Progress in permafrost hydrology in the new millennium,2008,"Woo, M-K., D. Kane, S. Carey, D. Yang.",Permafrost and Periglacial Processes,3,,,192,,,
grant.3068120,612062,Yukon River Streamflow Response to Seasonal Snowcover Changes,2009,"Yang, D., Y. Zhao, R. Armstrong, and D. Robsinson",Hydrological Processes,3,,,39,,,
grant.3068120,612062," ""Tracing freshwater anomalies through the air-land-ocean system: A case study from the Mackenzie River Basin and the Beaufort Gyre",2009,"Rawlins, M. A., M. Steele, M. C. Serreze, C. J. Vorosmarty, W. Ermold, R. B. Lammers, K. C. McDonald, T. M. Pavelsky, A. Shiklomanov, and J. Zhang",Atmos. Ocean,3,,,13,,,
grant.3068120,612062,The Northern Eurasia Earth Science Partnership: An Example of Science Applied to Societal Needs,2009,"Groisman, P.Y., E.A. Clark, V.M. Kattsov, D.P. Lettenmaier, I.N. Sokolik, V.B. Aizen, O. Cartus, J. Chen, S. Conard, J. Katzenberger, O. Krankina, J. Kukkonen, T. Machida, S. Maksyutov, D. Ojima, J. Qi, V.E. Romanovsky, M. Santoro, C.C. Schmullius, A.I. S.",BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,2,,,47,,,
grant.3068120,612062,Variation of hydrological regime with permafrost coverage over Lena Basin in Siberia,2009,"Ye, B., D. Yang, Z. Zhang, and D. L. Kane.",Journal of Geophysical Research,3,,,62,,,
grant.3068120,612062,Effect of streamflow regulation on mean annual discharge variability of the Yenisei River,2011,"Stuefer S.L., D.Yang and A.Shiklomanov",IAHS Proceedings from Cold Region Hydrology in a Changing Climate,3,,,16,,,
grant.3068120,612062,Analysis of the Arctic System for Freshwater Cycle Intensification: Observations and Expectations,2010,"Rawlins, M., Michael Steele, Marika M. Holland, Jennifer C. Adam, Jessica E. Cherry, Jennifer A. Francis, Pavel Ya Groisman, Larry D. Hinzman, Thomas G. Huntington, Douglas L. Kane, John S. Kimball, Ron Kwok, Richard B. Lammers, Craig M. Lee, Dennis P. Le",Journal of Climate,3,,,208,,,
grant.3041489,328686,Toward a typology of social-ecological systems,2010,"Alessa, L., Kliskey, A., and Altaweel, M.","Sustainability: science, practice and policy",1,,,63,,,More than 10 citations - randomly selected 10
grant.3041489,328686,"An arctic hydrologic system in transition: Feedbacks and impacts on terrestrial, marine, and human life",2009,"Francis, JA; White, DM; Cassano, JJ; Gutowski, WJ; Hinzman, LD; Holland, MM; Steele, MA; Vorosmarty, CJ.",JOURNAL OF GEOPHYSICAL RESEARCH - BIOGEOSCIENCES,1,,,63,,,More than 10 citations - randomly selected 10
grant.3041489,328686,Freshwater vulnerabilities and resilience on the Seward Peninsula as a consequence of landscape change,2008,"Alessa, L., Kliskey, A., White, D., Busey, B., Hinzman, L.",Global Environmental Change,2,,,53,,,More than 10 citations - randomly selected 10
grant.3041489,328686,Changes and impacts in the arctic freshwater cycle,2007,"White, D., Hinzman, L., Alessa, L., Cassano, J., Chambers, M., Falkner, K., Francis, J., Gutowski, W., Holland, M., Holmes, M., Huntington, H., Kane, D., Kliskey, A., Lee, C., McClelland, J.,Peterson, B., Steele, M., Straneo, F., Woodgate, R., Yang, D., Y",Biogeosciences,3,,,129,,,More than 10 citations - randomly selected 10
grant.3041489,328686,The Arctic Water Resource Vulnerability Index: An integrated assessment tool for community resilience and vulnerability with respect to freshwater,2008,"Alessa, L; Kliskey, A; Lammers R; Arp C; White D; Hinzman L; Busey R",Environmental Management,2,,,126,,,More than 10 citations - randomly selected 10
grant.3041489,328686,The distancing effect of modernization on the perception of water resources in Arctic communities,2008,"Alessa, L., Kliskey, A., Williams, P.",Polar Geography,3,,,20,,,More than 10 citations - randomly selected 10
grant.3041489,328686,"Forecasting resilience in arctic societies, creating tools for assessing social-hydrological systems",2009,"Altaweel, A., Alessa, L., and Kliskey, A.",Journal of the American Water Resources Association,1,,,5,,,More than 10 citations - randomly selected 10
grant.3041489,328686,Livelihoods on Thawing Ground: Relationships with Water Resources Near the Bering Strait,2010,"Schweitzer, Peter P.; Alessa, Lilian; Kliskey, Andrew; Yamin-Pasternak, Sveta",Anthropology News,2,,,2,,,More than 10 citations - randomly selected 10
grant.3041489,328686,"Potential impacts of a changing Arctic on freshwater resources on the Seward Peninsula, Alaska",2007,"Chambers, M., White, D., Busey, R., Hinzman, L., Strang, E., Alessa, L., and Kliskey, A.",Journal of Geophysical Research - Biogeosciences,2,,,11,,,More than 10 citations - randomly selected 10
grant.3041489,328686,The impact of climate change on domestic water supplies in the Arctic,2007,"Chambers, C., White, D., Busey, R., Hinzman, L., Strang, E., Alessa, L., Kliskey, A.",,2,,,6,,,More than 10 citations - randomly selected 10
grant.3061522,531354,Freshwater vulnerabilities and resilience on the Seward Peninsula as a consequence of landscape,2008,"Alessa, L., Kliskey, A., White, D., Busey, R., Williams, P., Hinzman, L.",Global Environmental Change,1,,,44,,,
grant.3061522,531354,The Arctic water resources vulnerability index,2008,"Alessa, L., Kliskey, A., Lammers, R., Arp, C., White, D., Busey, R., Hinzman, L.",Environmental Management,1,,,126,,,
grant.3059242,516205,Pollination and other ecosystem services produced by mobile organisms: a conceptual framework for the effects of land use change,2007,"Kremen et al. 
",Ecology Letters,2,,,1206,,,
grant.3059242,516205,Wild pollinators provide majority of crop visitation across land use gradients in New Jersey and Pennsylvania.,2008,Winfree et al. ,Journal of Applied Ecology,2,,,364,,,
grant.3059242,516205,Landscape effects on crop pollination services: are there general patterns?,2008,Ricketts et al. ,Ecology Letters,3,,,1010,,,
grant.3059242,516205,Native bees provide insurance against ongoing honey bee losses,2007,Winfree et al. ,Ecology Letters,2,,,487,,,
grant.3059242,516205,Modeling pollination services across agricultural landscapes,2009,"Lonsdorf et. al
",Annals of Botany,1,,,288,,,
grant.3054267,450334,Incorporating water table dynamics in climate modeling: 1. Water table observations and the equilibrium water table.,2007,"Fan, Ying, Christopher Weaver, Gonzalo Miguez-Macho, Robert Walko, and Alan Robock.",Journal of Geophysical Research,3,,,158,,,
grant.3054267,450334,"Incorporating water table dynamics in climate modeling: 2. Formulation, validation, and soil moisture simulation.",2007,"Miguez-Macho, Gonzalo, Ying Fan, Christopher Weaver, Robert Walko, and Alan Robock",Journal of Geophysical Research,3,,,119,,,
grant.3054267,450334,Incorporating water table dynamics in climate modeling: 3. Simulated groundwater influence on coupled land-atmosphere variability,2008,"Anyah, Richard, Christopher P. Weaver, Gonzalo Miguez-Macho, Ying Fan, and Alan Robock",Journal of Geophysical Research,3,,,90,,,
grant.3054267,450334,Impacts of land cover data quality on regional climate simulations,2009,"Sertel, Elif, Alan Robock, and Cankut Ormeci",Internattional Journal of Climatology,3,,,41,,,
grant.3054267,450334,Large-scale water cycle perturbation due to irrigation pumping in the US High Plains: A synthesis of observed streamflow changes,2010,"Kustu, MD; Fan, Y; Robock, A",JOURNAL OF HYDROLOGY,2,,,60,,,
grant.3054267,450334,Evidence of enhanced precipitation due to irrigation over the Great Plains of the United States,2010,"DeAngelis, A; Dominguez, F; Fan, Y; Robock, A; Kustu, MD; Robinson, D.",JOURNAL OF GEOPHYSICAL RESEARCH - ATMOSPHERES,2,,,144,,,
grant.3054267,450334,Simulated water table and soil moisture climatology over North America,2008,"Miguez-Macho, G; Li, HB; Fan, Y",BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,3,,,37,,,
grant.3059242,516380,No Papers associated with this award,,,,,,,,,,
grant.3102966,918905,Socio-ecohydrology and the urban water challenge,2011,"Pataki et al. 
",Ecohydrology,1,,,85,,,
grant.3102966,918905,Transpiration from urban trees in a semi-arid climate is constrained by xylem vulnerability to cavitation,2012,Litvak et al. ,Tree Physiology,3,,,74,,,
grant.3102966,918905,Do arid species use less water than mesic species in an irrigated common garden? Urban ecosystems,2012,Goedhart and Pataki,Urban Ecosystems,3,,,9,,,
grant.3102966,918905,A trait based ecology of the Los Angeles urban forest,2013,"Pataki et al. 
",Ecosphere,2,,,41,,,
grant.3102966,918905,The evolution of tree nursery offerings in Los Angeles County over the last 110 year,2013,Pincetl et al. ,Landscape and Urban Planning,3,,,32,,,
grant.3102966,918905,"Triple exposure: Regulatory, climatic, and political drivers of water management changes in the city of Los Angeles",2013,Hughes et al. ,Cities,2,,,42,,,
grant.3102966,918905,A time series of urban forestry in Los Angeles,2012,Gillespie et al. ,Urban Ecosystems,3,,,37,,,
grant.3102966,918905,"Coupling biogeochemical cycles in urban environments: Ecosystem services, green solutions, and misconceptions",2011,"Pataki et al. 
",Frontiers in Ecology and the Environment,3,,,652,,,
grant.3120041,1045198,Hydrologic tracers and thresholds: a comparison of geochemical techniques for event-based stream hydrograph separation and flowpath interpretation across multiple land covers in the Panama Canal Watershed,2015,"Litt, Guy, Gardner, C. B., Ogden, F. L., Lyons, W. B.",Applied Geochemistry,3,,,15,,,
grant.3120041,1045198,Effect of land cover and use on dry season river discharge and peak flows in the seasonal tropics of central Panama,2013,"Ogden, F.L., T.D. Crouch, R.F. Stallard, and J.S. Hall",Water Resources Research,2,,,67,,,
grant.3120041,1045198,"A research vision for hydrology of the humid tropics: Balancing water, energy, and land use",2012,"Wohl, E., A. Barros, N. Brunsell, N.A. Chappell, M. Coe, T. Giambelluca, S. Goldsmith, R. Harmon, J.M.H. Hendrickx, J. Juvik, J. McDonnell, F.Ogden",Nature Climate Change,3,,,163,,,
grant.3073641,642796,Coupled barrier island-resort model: 1. Emergent instabilities induced by strong human-landscape interactions,2008,D. E. McNamara and B. T. Werner.,Journal of Geophysical Research,1,,,46,,,
grant.3073641,642796,"Coupled barrier island-resort model: 2. Tests and predictions along Ocean City and Assateague Island National Seashore, Maryland",2008,D. E. McNamara and B. T. Werner.,Journal of Geophysical Research,1,,,17,,,
grant.3073641,642796,Dynamics of Coupled Human-Landscape Systems,2007,D. E. McNamara and B. T. Werner.,Geomorphology,1,,,144,,,
grant.3108509,948580,Modeling and validation of on-road CO2 emissions inventories at the urban regional scale,2012,"Brondfield et la. 
","Environmental Pollution 
",3,,,48,,,
grant.3108509,948580,Assessment of ground-based atmospheric observations for verification of greenhouse gas emissions from an urban region,2012,McKain et al. ,PNAS,3,,,160,,,
grant.2998725,948857,"Terrestrial carbon stocks across a gradient of urbanization: A study of the Seattle, WA region",2011,Hutyra et al. ,Global Change Biology,2,,,172,,,
grant.2998725,948857,Inconsistent definitions of 'urban result in different conclusions about the size of urban carbon and nitrogen stocks,2012,Raciti et al. ,Ecological Applications,3,,,87,,,
grant.2998725,948857,Exploring Space-time Variation in Urban Carbon Metabolism,2011,Hutyra et al. ,Urbanization and Global Environmental Change Viewpoints,1,,,4,,,
grant.2998725,948857,Depleted soil carbon and nitrogen pools beneath impervious surfaces,2012,Raciti et al. ,"Environmental Pollution 
",2,,,81,,,
grant.2998725,948857,Mapping urban pipeline leaks: methane leaks across Boston,2013,Phillips et al. ,"Environmental Pollution 
",3,,,167,,,
grant.2998725,948857,Field and remotely sensed measures of soil and vegetation carbon and nitrogen across an urbanization gradient in the Boston Metropolitan Area,2013,Rao et al ,Urban Ecosystems,2,,,32,,,
grant.2998725,948857,"Variations in atmospheric CO2 and carbon fluxes across a Boston, MA urban gradient",2013,Briber et al. ,Land,2,,,46,,,
grant.2998725,948857,"""A bottom-up approach to on-road CO2 emissions estimate: improved spatial accuracy and applications for regional planning",2013,Gately et al. ,Environmental Science and Technology,3,,,62,,,
grant.3128752,1128370,Organizing urban ecosystem services through environmental stewardship governance in New York City,2013,"Connolly, James J.; Svendsen, Erika S.; Fisher, Dana R.; Campbell, Lindsay K.",Landscape and Urban Planning,2,,,105,,,
grant.2998729,949036,A global analysis of the impacts of urbanization on bird and plant diversity reveals key anthropogenic drivers,2014,"Aronson, M., La Sorte, F., Katti, M., Nilon, C.H., Warren, P.S., Goddard, M., Lepczyk, C., Williams, N., Cilliers, S., Clarkson, B., Koojimans, J.L., MacGregor-Fors, I., Mortberg, U., Werner, P., Siebert, S., Dobbs, C., Hedblom, M., Kuehn, I., McDonnell.",Proceedings of the Royal Society B,2,,,655,,,
grant.3108588,948985,Profiling community gardeners,2010,"Blaine, T. W., Grewal, P. S., Dawes, A. & Snider, D.",Journal of Extension,3,,,45,,,
grant.3108588,948985,An assessment of soil nematode food webs and nutrient pools in community gardens and vacant lots in two post-industrial American cities,2011,"Grewal, S. S., Cheng, Z., Wolboldt, M., Masih, S., Knight, A., Huda, M. & Grewal, P. S.",Urban Ecosystems,3,,,24,,,
grant.3108588,948985,Are nematodes effective bioindicators of soil conditions and processes along distance from roads and age of development in urban areas?,2010,"Park, S., Cheng, Z., McSpadden Gardener, B. B. & Grewal, P. S.",Journal of Environmental Indicators,3,,,11,,,
grant.3108588,948985,Soil chemical properties vary with distance to roads and age of urban development,2010,"Park, S., Cheng, Z., Yang, H., Morris, E. E., Sutherland, M., McSpadden Gardener, B. B. & Grewal, P. S.",Urban Ecosystems,3,,,26,,,
grant.3108588,948985,Habitat structure influences below ground biocontrol services: a comparison between urban gardens and vacant lots,2012,"Yadav, P., K. Duckworth, P.S. Grewal",Landscape and Urban Planning,3,,,56,,,
grant.3108675,949387,Alternative oxidase responds to both low and high temperature stress in Quercus rubra leaves along an urban-rural gradient in New York,2011,"Searle S.Y., Bitterman D.S., Thomas S., Griffin K.L., Atkin O.K. & Turnbull M.H.",Functional Ecology,3,,,8,,,
grant.3108675,949387,Urban environment of New York City promotes growth in northern red oak seedlings,2012,"Searle S.Y., Turnbull, M.H., Boelman N.T., Schuster W.S.F., Yakir D. & Griffin K.L.",Tree Physiology,3,,,57,,,
grant.3108675,949387,Foliar nitrogen characteristics of four tree species planted in New York City forest restoration sites,2014,Falxa-Raymond et al.,Urban Ecosystems,3,,,5,,,
grant.3108675,949387,Hydrological performance of extensive green roofs in New York City: observations and multi-year modeling of three full-scale systems,2013,Carson et al. ,Environmental Research Letters,3,,,143,,,
grant.3108488,948484,Modeling acoustic diversity using soundscape recordings and LiDAR-derived metrics of vertical canopy structure in a neotropical rainforest,2012,"Pekin, B.K., J. Jung, L.J. Villanueva-Rivera, B.C. Pijanowski, J.A. Ahumada",Landscape Ecology,3,,,74,,,
grant.3108488,948484,Mapping vegetation volume in urban environments by fusing LiDAR and multispectral data,2012,"Jung, J., and B.C. Pijanowski",Korean Journal of Remote Sensing,3,,,2,,,
grant.3108488,948484,Green infrastructure and bird diversity across an urban socioeconomic gradient,2012,"Davis, A., J.A. Belaire, M. Farfan, D. Milz, E. Sweeney, and E. Minor",Ecosphere,2,,,35,,,
grant.3108488,948484,Substitutable habitats? The biophysical and anthropogenic drivers of an exotic bird's distribution,2014,"Davis, A., N. Malas, and E. Minor.",Biological Invasions,2,,,29,,,
grant.3108488,948484,conservation,2013,"Jung, J., B.K. Pekin, B.C. Pijanowski",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,3,,,cant find,,,
grant.3108488,948484,Lessons learned from Chicago Wilderness: Implementing and sustaining conservation management in an urban setting,2012,"Heneghan, L., C. Mulvaney, K. Ross, C. Watkins, L. M. Westphal, D. Wise and L. Umek.",Diversity,1,,,20,,,
grant.3146647,1301165,"Polynesian colonization and landscape changes on Mo’orea, French Polynesia: The Lake Temae pollen record",2017,"Stevenson, J., Benson, A.J., Athens, S, Kahn., J., Kirch, P.V.",The Holocene,1,,,8,,,
grant.3146647,1301165,"Mid- to late Holocene landscape change and anthropogenic transformations on Mo‘orea, Society Islands: A multi-proxy approach",2015,"Kahn, J.G, Nickelsen, C., Stevenson, J., Nick Porch, Emilie Dotte-Sarout, Carl C Christensen, Lauren May, J Stephen Athens, Patrick V Kirch",The Holocene,1,,,21,,,
grant.2999887,1038907,A global fingerprint of macro-scale change in urban structure from 1999 to 2009,2013,"Frolking S, T Milliman, KC Seto, MA Friedl",Environmental Research Letters,1,,,88,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,Climate sensitivity in the Anthropocene,2013,"Previdi M, BG Liepert, D Peteet, J Hansen, DJ Beerling, AJ Broccoli, S Frolking, JN Galloway, M Heimann, C Le Quéré, S Levitus, DM Murphy, V Ramaswamy",Quarterly J. Royal Meteorological Soc.,3,,,30,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,Confronting the challenge of integrated assessment of climate adaptation: a conceptual framework,2013,"Sue Wing I, Fisher-Vanden K.",Climatic Change,2,,,22,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,Mapping crop cycles in China using MODIS EVI time series,2014,"Le L, MA Friedl, QC Xin, J Gray, YZ Pan, S Frolking",Remote Sensing,3,,,66,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,The Randolph Glacier Inventory: a globally complete inventory of glaciers,2014,"Pfeffer, T, A. Arendt, A Bliss, T Bolch, J. G. Cogley, A S. Gardner, JO. Hagen, R. Hock, G. Kaser, C. Kienholz, E. S. Miles, Geir Moholdt, N. Moelg, F. Paul V. Radi, P. Rastner, B, H. Raup, J Rich, M J. Sharp and the Randolph Consortium",Journal of Glaciology,3,,,436,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,"Regional estimates of glacier runoff for the twenty-first century,"" Surv. Geophys, 2013",2013,"Radic V, Hock R.",Survey of Geophysics,3,,,61,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,Global response of glacier runoff to twenty‐first century climate change,2014,"Bliss, A., R. Hock, V. Radic",Journal of Geophysical Research - Earth Surface,3,,,91,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,A direct human influence on atmospheric CO2 seasonality from increased crop productivity,2014,"Gray JM, S Frolking, EA Kort, D Ray, CJ Kucharik, N Ramankutty, MA Friedl",Nature,1,,,77,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,Dynamic assessment of the impact of drought on agricultural yield and scale-dependent return periods over large geographic regions,2014,"Yu C, C Li, Q Xin, H Chen, J Zhang, F Zhang, X Li, N Clinton, X Huang, Y Yue, P Gong",Environmental Modelling and Software,3,,,33,,,More than 10 citations - randomly selected 10
grant.2999887,1038907,The extent of permafrost in China during the local Last Glacial Maximum (LLGM),2013,"Zhao, L., Jin, H., Li, C., Cui, Z., Chang, X., Marchenko, S. S., Vandenberghe, J., Zhang, T., Luo, D., Guo, D., Liu, G. and Yi, C.",Boreas,3,,,23,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Improving biogeochemical knowledge through technological innovation,2011,"Melack, JM; Finzi, AC; Siegel, D; MacIntyre, S; Nelson, CE; Aufdenkampe, AK; Pace, ML.",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,3,,,5,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Rates of soil mixing and associated carbon fluxes in a forest vs. tilled agricultural field: implications for modelling the soil carbon cycle,2011,"Yoo, K., J. Ji, A. Aufdenkampe, and J. Klaminder",,3,,,18,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Estimation of dissolved organic carbon contribution from hillslope soils to a headwater stream,2012,"Mei, Y., G. M. Hornberger, L. A. Kaplan, J. D. Newbold, and A. K. Aufdenkampe.",Water Resources Research,3,,,18,,,More than 10 citations - randomly selected 10
grant.3081119,724971,The Initial Design of Data Sharing Infrastructure for the Critical Zone Observatory,2011,"Zaslavsky, I., T. Whitenack, M. Williams, D. G. Tarboton, K. Schreuders, and A. Aufdenkampe","Proceedings of the Environmental Information Management Conference, Santa Barbara, CA",3,,,0,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Biological lability of streamwater fluorescent dissolved organic matter,2012,"Cory, Rose M. and L. A. Kaplan",Limnology and Oceanography,3,,,87,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Water quality functions of a 15-year-old riparian forest buffer system,2010,"Newbold, J. D., S. Herbert, B. W. Sweeney, P. Kiry, and S. J. Alberts",Journal of the American Water Resources Association,3,,,35,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Predicting the accumulation of mercury-contaminated sediment on riverbanks - An analytical approach,2012,"Pizzuto, J.E.",Water Resources Research,3,,,10,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Solute-specific scaling of inorganic nitrogen and phosphorus uptake in streams,2013,"Hall, R. O., Jr., M. A. Baker, E. J. Rosi-Marshall, J. L. Tank, and J. D. Newbold",Biogeosciences,3,,,59,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Turbulent particle transport in streams: Can exponential settling be reconciled with fluid mechanics?,2012,"McNair, J. N. and J. D. Newbold.",Journal of Theoretical Biology,3,,,6,,,More than 10 citations - randomly selected 10
grant.3081119,724971,Measuring heterotrophic respiration rates of suspended particulate organic carbon from stream ecosystems,2013,"Richardson, D. C., J. D. Newbold, A. K. Aufdenkampe, P. G. Taylor, and L. A. Kaplan.",Limnology and Oceanography-Methods,3,,,20,,,More than 10 citations - randomly selected 10
grant.3127423,1119819,"Forest resilience, climate change, and opportunities for adaptation: A specific case of a general problem",2013,Buma and Wessman,Forest Ecology and Management,3,,,58,,,
grant.3127423,1119819,"Disturbances, their interactions, and cumulative effects on carbon and charcoal stocks in a forested ecosystem",2014,Buma et al.,Ecosystems,3,,,35,,,
grant.3108096,946280,Incorporating the effects of humidity in a mechanistic model of mosquito population dynamics in the Sahel region of Africa,2013,Yamana and Eltahir,Parasites and Vectors,3,,,63,,,
grant.3108096,946280,Laboratory experiments on stranding of Anopheles larvae under different environmental conditions,2015,Endo et al.,Parasites and Vectors,3,,,17,,,
grant.3108096,946280,"Early warning of the potential for malaria transmission in rural Africa using the hydrology, entomology and malaria transmission simulator (HYDREMATS)",2010,Yamana and Eltahir,Malaria Journal,2,,,8,,,
grant.3108096,946280,Climate Change Impacts on Environmental Suitability for Malaria Transmission in West Africa,2013,Yamana and Eltahir,Environmental Health Perspectives,2,,,43,,,
grant.3108096,946280,On the use of satellite-based estimates of rainfall temporal distribution to simulate the potential for malaria transmission in rural Africa,2011,Yamana and Eltahir,Water Resources Research,3,,,16,,,
grant.3108096,946280,Linking environmental variability to village-scale malaria transmission using a simple immunity model,2013,Yamana et al. ,Parasites and Vectors,2,,,22,,,
grant.3071161,628908,Harvest and extinction in multi-species ecosystems,2007,Potts and Vincent ,Ecological Economics,1,,,12,,,
grant.3071161,628908,"Spatial distribution of species populations, relative economic values, and the optimal size and number of reserves",2007,"Potts and Vincent
",Environmental Resources Economics,1,,,16,,,
grant.3019094,111410,Stream denitrification and total nitrate uptake rates measured using a field 15N isotope tracer approach,2004,"Mulholland et al. 
",Limnology and Oceanography,3,,,196,,,More than 10 citations - randomly selected 10
grant.3019094,111410,The influence of land use on sediment denitrification in 9 Midwestern headwater streams,2005,Inwood et al. ,Journal of the North American Benthological Society,3,,,4,,,More than 10 citations - randomly selected 10
grant.3019094,111410,Estimation of stream nutrient uptake from nutrient addition experiments,2005,"Payn et al. 
",Limnology and Oceanography - Methods,3,,,124,,,More than 10 citations - randomly selected 10
grant.3019094,111410,The role of in-stream vs allochthonous N in stream food webs: modeling the results of an isotope addition experiment,2004,Hamilton et al. ,Journal of the North American Benthological Society,3,,,56,,,More than 10 citations - randomly selected 10
grant.3019094,111410,Spatial and temporal variability in sediment denitrification within an agriculturally influenced reservoir,2005,"Wall et al. 
",Biogeochemistry,3,,,104,,,More than 10 citations - randomly selected 10
grant.3019094,111410,Nutrient uptake in streams draining agricultural catchments of the midwestern United States,2006,Bernot et al. ,Freshwater Biology,2,,,202,,,More than 10 citations - randomly selected 10
grant.3019094,111410,"Improving the fluorometric ammonium method: matrix effects, background fluorescence, and standard additions",2007,Taylor et al. ,Journal of North American Benthological Society,3,,,160,,,More than 10 citations - randomly selected 10
grant.3019094,111410,Measurement of the stable isotope ratio of dissolved N2 in 15N tracer experiments,2007,"Hamilton and Ostrom 
",Limnology and Oceanography - Methods,3,,,51,,,More than 10 citations - randomly selected 10
grant.3019094,111410,Have we overemphasized the role of denitrification in aquatic ecosystems? A review of nitrate removal pathways,2007,Burgin and Hamilton ,Frontiers in Ecology and the Environment,3,,,841,,,More than 10 citations - randomly selected 10
grant.3019094,111410,Denitrification and the nitrogen budget of a reservoir in an agricultural landscape,2006,David et al. ,Ecological Applications,2,,,134,,,More than 10 citations - randomly selected 10
grant.3068552,614349,The Agricultural Landscape of Perry Mesa: Modeling Residential Site Location in Relation to Arable Land,2007,Melissa Kruse,Kiva Journal of Southwestern Anthropology and History,1,,,13,,,
grant.3029637,218001,The role of floods in particulate organic matter dynamics of a southern Appalachian river-floodplain ecosystem,2004,"Neatrour, M.A., Webster, J.R., Benfield, E.F.",Journal of the North American Benthological Society,3,,,45,,,More than 10 citations - randomly selected 10
grant.3029637,218001,Differences in Surface Water Quality Draining Four Road Surface Types in the Southern Appalachians,2003,"Clinton, B.D., Vose, J.M.",Southern Journal of Applied Forestry,2,,,0,,,More than 10 citations - randomly selected 10
grant.3029637,218001,Carbon limitation leads to suppression of first year oak seedlings beneath evergreen understory shrubs in Southern Appalachian hardwood forests.,2005,"Beier, Colin M.; Horton, Jonathan L.; Walker, John F.; Clinton, Barton D.; Nilsen, Erik T.",Plant Ecology,3,,,35,,,More than 10 citations - randomly selected 10
grant.3029637,218001,Physical and biological responses to of streams to suburbanization of historically agricultural watersheds.,,"Burcher, C.L. and E.F. Benfield",Journal of the North American Benthological Society,2,,,64,,,More than 10 citations - randomly selected 10
grant.3029637,218001,Why environmental scientists are becoming Bayesians,2005,"Clark, J.S.",Ecology Letters,3,,,790,,,More than 10 citations - randomly selected 10
grant.3029637,218001,The effects of three regeneration harvest methods on plant diversity and soil characteristics in the southern Appalachians.,2005,"Elliott, K.J. and J.D. Knoepp",Forest Ecology and Management,2,,,78,,,More than 10 citations - randomly selected 10
grant.3029637,218001,Time in Service to Historical Ecology,2005,"Gragson, Ted L.",Georgia Journal of Ecological Anthropology,2,,,8,,,More than 10 citations - randomly selected 10
grant.3029637,218001,Estimating colonization potential of migrant tree species,2009,"Ibanez, I; Clark, JS; Dietze, MC",GLOBAL CHANGE BIOLOGY,3,,,51,,,More than 10 citations - randomly selected 10
grant.3029637,218001,Environmental indicators of macroinvertebrate and fish assemblage integrity in urbanizing watersheds,2009,"Walters, DM; Roy, AH; Leigh, DS",ECOLOGICAL INDICATORS,3,,,63,,,More than 10 citations - randomly selected 10
